sentence_id,language_code,expression,hint
1,EN,Hello,Common greeting used any time of day
1,ES,Hola,Saludo común para cualquier momento del día
1,ZH,你好,nǐ hǎo - 最常用的问候语 (가장 흔한 인사말)
1,JA,こんにちは,こんにちは(konnichiwa) - 日中の挨拶 (낮 인사)
1,KO,안녕하세요,가장 기본적인 한국어 인사말. 격식체. annyeonghaseyo
2,EN,Goodbye,Said to the person who is leaving
2,ES,Adiós,Se dice a la persona que se va
2,ZH,再见,zài jiàn - 告别用语 (작별 인사)
2,JA,さようなら,さようなら(sayōnara) - 別れの挨拶 (작별 인사)
2,KO,안녕히 가세요,떠나는 사람에게 하는 인사. annyeonghi gaseyo
3,EN,Goodbye,Said to the person who is staying behind
3,ES,Adiós,Se dice a la persona que se queda
3,ZH,再见,zài jiàn - 对留下的人说的告别语 (남는 사람에게 하는 작별 인사)
3,JA,さようなら,さようなら(sayōnara) - 残る人への挨拶 (남는 사람에게 하는 인사)
3,KO,안녕히 계세요,남아 있는 사람에게 하는 인사. annyeonghi gyeseyo
4,EN,Thank you,Formal expression of gratitude
4,ES,Gracias,Expresión formal de agradecimiento
4,ZH,谢谢,xiè xiè - 表示感谢 (감사 표현)
4,JA,ありがとうございます,ありがとうございます(arigatō gozaimasu) - 丁寧な感謝 (정중한 감사)
4,KO,감사합니다,정중한 감사 표현. 격식체. gamsahamnida
5,EN,Thank you,Slightly softer than 감사합니다 but still polite
5,ES,Gracias,"Un poco menos formal que 감사합니다, pero cortés"
5,ZH,谢谢,xiè xiè - 感谢（稍随意）(약간 부드러운 감사)
5,JA,ありがとう,ありがとう(arigatō) - やや親しい感謝 (친근한 감사)
5,KO,고맙습니다,감사합니다보다 약간 부드러운 감사 표현. gomapseumnida
6,EN,I'm sorry,"Apology, slightly casual but polite"
6,ES,Lo siento,Disculpa cortés
6,ZH,对不起,duì bu qǐ - 道歉用语 (사과 표현)
6,JA,すみません,すみません(sumimasen) - 謝罪表現 (사과 표현)
6,KO,미안합니다,사과 표현. 죄송합니다보다 약간 가벼운 느낌. mianhamnida
7,EN,I'm very sorry,Very formal apology
7,ES,Lo siento mucho,Disculpa muy formal
7,ZH,非常抱歉,fēi cháng bào qiàn - 正式道歉 (격식 사과)
7,JA,申し訳ありません,もうしわけありません(mōshiwake arimasen) - 正式な謝罪 (격식 사과)
7,KO,죄송합니다,매우 정중한 사과 표현. 격식체. joesonghamnida
8,EN,Yes,Affirmative response
8,ES,Sí,Respuesta afirmativa
8,ZH,是,shì - 肯定回答 (긍정 대답)
8,JA,はい,はい(hai) - 肯定の返事 (긍정 대답)
8,KO,네,긍정의 대답. 격식체. ne
9,EN,No,Negative response
9,ES,No,Respuesta negativa
9,ZH,不是,bú shì - 否定回答 (부정 대답)
9,JA,いいえ,いいえ(iie) - 否定の返事 (부정 대답)
9,KO,아니요,부정의 대답. 격식체. aniyo
10,EN,Excuse me,Used to get attention or apologize for interrupting
10,ES,Disculpe,Se usa para llamar la atención o pedir permiso
10,ZH,打扰一下,dǎ rǎo yí xià - 打扰时用语 (실례할 때 쓰는 말)
10,JA,すみません,すみません(sumimasen) - 注意を引く表現 (주의를 끌 때)
10,KO,실례합니다,다른 사람에게 말을 걸 때 쓰는 정중한 표현. sillyehamnida
11,EN,I,"First person pronoun, informal"
11,ES,Yo,Pronombre de primera persona
11,ZH,我,wǒ - 第一人称代词 (1인칭 대명사)
11,JA,私,わたし(watashi) - 一人称代名詞 (1인칭 대명사)
11,KO,나,1인칭 대명사. 비격식. 친구나 아랫사람에게 사용. na
12,EN,I,"First person pronoun, humble/formal"
12,ES,Yo,"Pronombre de primera persona, formal"
12,ZH,我,"wǒ - 第一人称（正式）(1인칭, 격식)"
12,JA,私,"わたくし(watakushi) - 一人称（謙譲）(1인칭, 겸양)"
12,KO,저,1인칭 대명사. 격식체. 윗사람에게 사용. jeo
13,EN,You,"Second person pronoun, informal"
13,ES,Tú,"Pronombre de segunda persona, informal"
13,ZH,你,nǐ - 第二人称代词 (2인칭 대명사)
13,JA,君,"きみ(kimi) - 二人称（親しい）(2인칭, 친근)"
13,KO,너,2인칭 대명사. 비격식. 친구나 아랫사람에게 사용. neo
14,EN,You,"Second person pronoun, formal"
14,ES,Usted,"Pronombre de segunda persona, formal"
14,ZH,您,"nín - 第二人称（尊敬）(2인칭, 존경)"
14,JA,あなた,"あなた(anata) - 二人称（丁寧）(2인칭, 정중)"
14,KO,당신,2인칭 대명사. 격식체. 실제 대화에서는 잘 안 씀. dangsin
15,EN,He,Third person masculine pronoun
15,ES,Él,Pronombre de tercera persona masculino
15,ZH,他,tā - 第三人称（男）(3인칭 남성)
15,JA,彼,かれ(kare) - 三人称（男性）(3인칭 남성)
15,KO,그,3인칭 남성 대명사. geu
16,EN,She,Third person feminine pronoun
16,ES,Ella,Pronombre de tercera persona femenino
16,ZH,她,tā - 第三人称（女）(3인칭 여성)
16,JA,彼女,かのじょ(kanojo) - 三人称（女性）(3인칭 여성)
16,KO,그녀,3인칭 여성 대명사. geunyeo
17,EN,It,Third person pronoun for things
17,ES,Eso,Pronombre para cosas
17,ZH,它,tā - 第三人称（物）(3인칭 사물)
17,JA,それ,それ(sore) - 物を指す代名詞 (사물 대명사)
17,KO,그것,3인칭 사물 대명사. geugeot
18,EN,We,First person plural pronoun
18,ES,Nosotros,Pronombre de primera persona plural
18,ZH,我们,wǒ men - 第一人称复数 (1인칭 복수)
18,JA,私たち,わたしたち(watashitachi) - 一人称複数 (1인칭 복수)
18,KO,우리,1인칭 복수 대명사. '우리 가족' 등으로 많이 사용. uri
19,EN,They,Third person plural pronoun
19,ES,Ellos,Pronombre de tercera persona plural
19,ZH,他们,tā men - 第三人称复数 (3인칭 복수)
19,JA,彼ら,かれら(karera) - 三人称複数 (3인칭 복수)
19,KO,그들,3인칭 복수 대명사. geudeul
20,EN,Everyone,Addressing a group of people
20,ES,Todos ustedes,Dirigirse a un grupo de personas
20,ZH,大家,dà jiā - 对大家说 (여러 사람에게)
20,JA,皆さん,みなさん(minasan) - 皆様 (여러분)
20,KO,여러분,여러 사람을 가리키는 2인칭 복수. yeoreobun
21,EN,This,Demonstrative for something near the speaker
21,ES,Esto,Demostrativo para algo cerca del hablante
21,ZH,这个,"zhè ge - 指示代词（近）(지시대명사, 가까운 것)"
21,JA,これ,これ(kore) - 近くの物を指す (가까운 것)
21,KO,이것,말하는 사람 가까이에 있는 것을 가리킴. igeot
22,EN,That,Demonstrative for something near the listener
22,ES,Eso,Demostrativo para algo cerca del oyente
22,ZH,那个,"nà ge - 指示代词（中距离）(지시대명사, 중간 거리)"
22,JA,それ,それ(sore) - 聞き手の近くの物 (듣는 사람 근처)
22,KO,그것,듣는 사람 가까이에 있는 것을 가리킴. geugeot
23,EN,That over there,Demonstrative for something far from both speakers
23,ES,Aquello,Demostrativo para algo lejos de ambos
23,ZH,那个,"nà ge - 指示代词（远）(지시대명사, 먼 것)"
23,JA,あれ,あれ(are) - 遠くの物を指す (먼 것)
23,KO,저것,말하는 사람과 듣는 사람 모두에게서 먼 것. jeogeot
24,EN,Here,Place near the speaker
24,ES,Aquí,Lugar cerca del hablante
24,ZH,这里,"zhè lǐ - 这里（近处）(여기, 가까운 곳)"
24,JA,ここ,ここ(koko) - 近い場所 (가까운 장소)
24,KO,여기,말하는 사람 가까이의 장소. yeogi
25,EN,There,Place near the listener
25,ES,Ahí,Lugar cerca del oyente
25,ZH,那里,"nà lǐ - 那里（中距离）(거기, 중간 거리)"
25,JA,そこ,そこ(soko) - 聞き手の近くの場所 (듣는 사람 근처)
25,KO,거기,듣는 사람 가까이의 장소. geogi
26,EN,Over there,Place far from both speakers
26,ES,Allá,Lugar lejos de ambos hablantes
26,ZH,那边,"nà biān - 那边（远处）(저기, 먼 곳)"
26,JA,あそこ,あそこ(asoko) - 遠い場所 (먼 장소)
26,KO,저기,말하는 사람과 듣는 사람 모두에게서 먼 장소. jeogi
27,EN,This way,Direction near the speaker
27,ES,Por aquí,Dirección cerca del hablante
27,ZH,这边,"zhè biān - 这边（方向）(이쪽, 방향)"
27,JA,こちら,こちら(kochira) - こちらの方 (이쪽 방향)
27,KO,이쪽,말하는 사람 쪽의 방향. ijjok
28,EN,That way,Direction far from both speakers
28,ES,Por allá,Dirección lejos de ambos hablantes
28,ZH,那边,"nà biān - 那边（方向）(저쪽, 방향)"
28,JA,あちら,あちら(achira) - あちらの方 (저쪽 방향)
28,KO,저쪽,먼 쪽의 방향. jeojjok
29,EN,This place,Formal way to say 'here'
29,ES,Este lugar,Forma formal de decir 'aquí'
29,ZH,这个地方,zhè ge dì fāng - 这个地方 (이 장소)
29,JA,この場所,このばしょ(kono basho) - この場所 (이 장소)
29,KO,이곳,'여기'의 격식체 표현. igot
30,EN,That place,Formal way to say 'over there'
30,ES,Aquel lugar,Forma formal de decir 'allá'
30,ZH,那个地方,nà ge dì fāng - 那个地方 (저 장소)
30,JA,あの場所,あのばしょ(ano basho) - あの場所 (저 장소)
30,KO,저곳,'저기'의 격식체 표현. jeogot
31,EN,Good,"Adjective meaning good, fine"
31,ES,Bueno,Adjetivo que significa bueno
31,ZH,好,"hǎo - 形容词，好的 (형용사, 좋은)"
31,JA,いい,"いい(ii) - 良い、形容詞 (좋은, 형용사)"
31,KO,좋다,기본 형용사. 상태가 좋음. 반대말: 나쁘다. jota
32,EN,Bad,Adjective meaning bad
32,ES,Malo,Adjetivo que significa malo
32,ZH,坏,"huài - 形容词，坏的 (형용사, 나쁜)"
32,JA,悪い,"わるい(warui) - 悪い、形容詞 (나쁜, 형용사)"
32,KO,나쁘다,기본 형용사. 상태가 나쁨. 반대말: 좋다. nappeuda
33,EN,Happy,Adjective meaning happy
33,ES,Feliz,Adjetivo que significa feliz
33,ZH,幸福,"xìng fú - 形容词，幸福的 (형용사, 행복한)"
